timestamp,keyword,count
2018-01-26 12:46:50.671892,JUnit,67154
2018-01-26 12:46:50.671892,AndroidJunitRunner,164
2018-01-26 12:46:50.671892,RoboElectric,245
2018-01-26 12:46:50.671892,RoboSpock,23
2018-01-26 12:46:50.671892,AndroidViewClient,474
2018-01-26 12:46:50.671892,Appium,9687
2018-01-26 12:46:50.671892,Calabash,1856
2018-01-26 12:46:50.671892,Espresso,4374
2018-01-26 12:46:50.671892,Monkeyrunner,1299
2018-01-26 12:46:50.671892,PythonUIAutomator,0
2018-01-26 12:46:50.671892,Robotium,3019
2018-01-26 12:46:50.671892,UIAutomator,1918
2018-01-26 12:46:50.671892,Project Quantum,126
2018-01-26 12:46:50.671892,Qmetry,27
2018-01-26 12:46:50.671892,Saucelabs,1087
2018-01-26 12:46:50.671892,Firebase,100371
2018-01-26 12:46:50.671892,Perfecto,224
2018-01-26 12:46:50.671892,Bitbar,16
2018-01-26 12:46:50.671892,Travis CI,3662
2018-01-26 12:46:50.671892,Circle CI,377
2018-01-26 12:46:50.671892,AppVeyor,655
2018-01-26 12:46:50.671892,CodeShip,564
2018-01-26 12:46:50.671892,CodeFresh,6
2018-01-26 12:46:50.671892,Wercker,200
2018-01-26 12:54:33.281907,JUnit,67154
2018-01-26 12:54:37.545486,AndroidJunitRunner,164
2018-01-26 12:54:42.303949,RoboElectric,245
2018-01-26 12:54:46.858358,RoboSpock,23
2018-01-26 12:54:52.555269,AndroidViewClient,474
2018-01-26 12:54:57.603971,Appium,9687
2018-01-26 12:55:02.819145,Calabash,1856
2018-01-26 12:55:07.934051,Espresso,4374
2018-01-26 12:55:12.718953,Monkeyrunner,1299
2018-01-26 12:55:18.020170,PythonUIAutomator,0
2018-01-26 12:55:20.869429,Robotium,3019
2018-01-26 12:55:25.117195,UIAutomator,1918
2018-01-26 12:55:28.934841,Project Quantum,126
2018-01-26 12:55:34.030857,Qmetry,27
2018-01-26 12:55:37.939609,Saucelabs,1087
2018-01-26 12:55:44.168964,Firebase,100371
2018-01-26 12:55:48.646371,Perfecto,224
2018-01-26 12:55:52.722015,Bitbar,16
2018-01-26 12:55:58.235698,Travis CI,3662
2018-01-26 12:56:02.294716,Circle CI,377
2018-01-26 12:56:05.451190,AppVeyor,655
2018-01-26 12:56:09.377656,CodeShip,564
2018-01-26 12:56:12.748954,CodeFresh,6
2018-01-26 12:56:17.581171,Wercker,200
2018-01-30 17:30:17.457867,JUnit,67236
2018-01-30 17:30:22.901545,AndroidJunitRunner,163
2018-01-30 17:30:28.225476,RoboElectric,245
2018-01-30 17:30:30.923190,RoboSpock,23
2018-01-30 17:30:35.533188,AndroidViewClient,474
2018-01-30 17:30:39.536626,Appium,9702
2018-01-30 17:30:44.892618,Calabash,1855
2018-01-30 17:30:48.648926,Espresso,4381
2018-01-30 17:30:54.426589,Monkeyrunner,1299
2018-01-30 17:30:59.449556,PythonUIAutomator,0
2018-01-30 17:31:04.009767,Robotium,3019
2018-01-30 17:31:10.239290,UIAutomator,1919
2018-01-30 17:31:18.500323,Project Quantum,126
2018-01-30 17:31:23.615226,Qmetry,27
2018-01-30 17:31:27.838563,Saucelabs,1085
2018-01-30 17:31:30.891480,Firebase,101029
2018-01-30 17:31:33.837950,Perfecto,224
2018-01-30 17:31:38.417201,Bitbar,16
2018-01-30 17:31:43.526535,Travis CI,3666
2018-01-30 17:31:48.271311,Circle CI,376
2018-01-30 17:31:53.515408,AppVeyor,659
2018-01-30 17:31:57.499906,CodeShip,564
2018-01-30 17:32:03.008709,CodeFresh,6
2018-01-30 17:32:07.715380,Wercker,200
2018-01-31 12:11:13.900991,JUnit,67256
2018-01-31 12:11:17.249164,AndroidJunitRunner,163
2018-01-31 12:11:22.369362,RoboElectric,245
2018-01-31 12:11:26.948413,RoboSpock,23
2018-01-31 12:11:31.789973,AndroidViewClient,474
2018-01-31 12:11:35.397727,Appium,9712
2018-01-31 12:11:40.676943,Calabash,1855
2018-01-31 12:11:44.963201,Espresso,4383
2018-01-31 12:11:48.106112,Monkeyrunner,1299
2018-01-31 12:11:51.619716,PythonUIAutomator,0
2018-01-31 12:11:55.691932,Robotium,3019
2018-01-31 12:11:58.375240,UIAutomator,1922
2018-01-31 12:12:02.046413,Project Quantum,126
2018-01-31 12:12:06.424960,Qmetry,27
2018-01-31 12:12:11.372160,Saucelabs,1085
2018-01-31 12:12:14.824282,Firebase,101176
2018-01-31 12:12:19.575994,Perfecto,224
2018-01-31 12:12:23.333174,Bitbar,16
2018-01-31 12:12:25.743044,Travis CI,3667
2018-01-31 12:12:31.191057,Circle CI,376
2018-01-31 12:12:34.779807,AppVeyor,659
2018-01-31 12:12:37.511869,CodeShip,564
2018-01-31 12:12:41.319282,CodeFresh,6
2018-01-31 12:12:45.592032,Wercker,201
